GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-09-22,41900313,Final,1610612743,1610612747,2019,1610612743,114.0,0.5479999999999999,0.7929999999999999,0.379,26.0,44.0,1610612747,106.0,0.518,0.636,0.231,27.0,25.0,1
2020-09-20,41900312,Final,1610612747,1610612743,2019,1610612747,105.0,0.446,0.9470000000000001,0.361,23.0,44.0,1610612743,103.0,0.473,0.758,0.33299999999999996,22.0,31.0,1
2020-09-19,41900303,Final,1610612748,1610612738,2019,1610612748,106.0,0.38799999999999996,0.8240000000000001,0.273,21.0,42.0,1610612738,117.0,0.48200000000000004,0.867,0.34600000000000003,27.0,50.0,0
2020-09-18,41900311,Final,1610612747,1610612743,2019,1610612747,126.0,0.53,0.73,0.423,33.0,34.0,1610612743,114.0,0.494,0.821,0.34600000000000003,23.0,37.0,1
2020-09-17,41900302,Final,1610612738,1610612748,2019,1610612738,101.0,0.5,0.792,0.35700000000000004,19.0,41.0,1610612748,106.0,0.444,0.857,0.326,27.0,38.0,0
2020-09-15,41900301,Final,1610612738,1610612748,2019,1610612738,114.0,0.44299999999999995,0.9129999999999999,0.35700000000000004,24.0,37.0,1610612748,117.0,0.47100000000000003,0.75,0.444,32.0,41.0,0
2020-09-15,41900237,Final,1610612746,1610612743,2019,1610612746,89.0,0.37799999999999995,0.75,0.257,21.0,37.0,1610612743,104.0,0.494,0.938,0.35100000000000003,22.0,53.0,0
2020-09-13,41900236,Final,1610612743,1610612746,2019,1610612743,111.0,0.541,0.7040000000000001,0.48,26.0,41.0,1610612746,98.0,0.41,0.889,0.37,20.0,37.0,1
2020-09-12,41900225,Final,1610612747,1610612745,2019,1610612747,119.0,0.527,0.759,0.514,25.0,50.0,1610612745,96.0,0.371,0.708,0.265,18.0,31.0,1
2020-09-11,41900235,Final,1610612746,1610612743,2019,1610612746,105.0,0.42,0.882,0.381,22.0,41.0,1610612743,111.0,0.48100000000000004,0.84,0.444,20.0,44.0,0
2020-09-11,41900217,Final,1610612761,1610612738,2019,1610612761,87.0,0.413,0.895,0.28600000000000003,17.0,44.0,1610612738,92.0,0.40700000000000003,0.565,0.237,19.0,44.0,0
2020-09-10,41900224,Final,1610612745,1610612747,2019,1610612745,100.0,0.431,0.769,0.424,24.0,26.0,1610612747,110.0,0.489,0.938,0.3,30.0,52.0,0
2020-09-09,41900216,Final,1610612738,1610612761,2019,1610612738,122.0,0.44,0.833,0.413,32.0,58.0,1610612761,125.0,0.436,0.72,0.40399999999999997,22.0,46.0,0
2020-09-09,41900234,Final,1610612743,1610612746,2019,1610612743,85.0,0.397,0.846,0.33299999999999996,19.0,38.0,1610612746,96.0,0.418,0.733,0.28600000000000003,19.0,41.0,0
2020-09-08,41900205,Final,1610612749,1610612748,2019,1610612749,94.0,0.363,0.731,0.273,20.0,41.0,1610612748,103.0,0.479,0.917,0.355,21.0,48.0,0
2020-09-08,41900223,Final,1610612745,1610612747,2019,1610612745,102.0,0.469,1.0,0.4,23.0,30.0,1610612747,112.0,0.551,0.696,0.33299999999999996,25.0,43.0,0
2020-09-07,41900215,Final,1610612761,1610612738,2019,1610612761,89.0,0.38799999999999996,0.846,0.3,19.0,36.0,1610612738,111.0,0.494,0.889,0.324,23.0,45.0,0
2020-09-07,41900233,Final,1610612743,1610612746,2019,1610612743,107.0,0.46799999999999997,0.8,0.324,32.0,36.0,1610612746,113.0,0.547,0.769,0.355,23.0,41.0,0
2020-09-06,41900204,Final,1610612748,1610612749,2019,1610612748,115.0,0.444,0.9,0.36200000000000004,33.0,41.0,1610612749,118.0,0.489,0.773,0.314,25.0,46.0,0
2020-09-06,41900222,Final,1610612747,1610612745,2019,1610612747,117.0,0.5660000000000001,0.611,0.444,30.0,41.0,1610612745,109.0,0.449,0.7390000000000001,0.415,22.0,35.0,1
2020-09-05,41900214,Final,1610612738,1610612761,2019,1610612738,93.0,0.44,0.741,0.2,18.0,45.0,1610612761,100.0,0.395,0.789,0.386,23.0,41.0,0
2020-09-05,41900232,Final,1610612746,1610612743,2019,1610612746,101.0,0.409,0.69,0.281,20.0,52.0,1610612743,110.0,0.451,0.765,0.375,18.0,45.0,0
2020-09-04,41900203,Final,1610612748,1610612749,2019,1610612748,115.0,0.449,0.794,0.38299999999999995,27.0,49.0,1610612749,100.0,0.42,0.7140000000000001,0.297,23.0,44.0,1
2020-09-04,41900221,Final,1610612747,1610612745,2019,1610612747,97.0,0.42200000000000004,0.8420000000000001,0.289,18.0,41.0,1610612745,112.0,0.48100000000000004,0.741,0.359,19.0,41.0,0
2020-09-03,41900213,Final,1610612738,1610612761,2019,1610612738,103.0,0.47,0.762,0.31,21.0,44.0,1610612761,104.0,0.466,0.563,0.325,23.0,39.0,0
2020-09-03,41900231,Final,1610612746,1610612743,2019,1610612746,120.0,0.5710000000000001,0.8240000000000001,0.41700000000000004,23.0,45.0,1610612743,97.0,0.42200000000000004,0.667,0.25,20.0,40.0,1
2020-09-02,41900202,Final,1610612749,1610612748,2019,1610612749,114.0,0.435,0.846,0.28,16.0,50.0,1610612748,116.0,0.457,0.7809999999999999,0.37799999999999995,22.0,38.0,0
2020-09-02,41900177,Final,1610612745,1610612760,2019,1610612745,104.0,0.39799999999999996,0.895,0.34700000000000003,18.0,44.0,1610612760,102.0,0.461,0.762,0.47100000000000003,24.0,46.0,1
2020-09-01,41900212,Final,1610612761,1610612738,2019,1610612761,99.0,0.4,0.8420000000000001,0.275,25.0,41.0,1610612738,102.0,0.42100000000000004,0.92,0.395,18.0,44.0,0
2020-09-01,41900167,Final,1610612743,1610612762,2019,1610612743,80.0,0.373,0.769,0.258,21.0,46.0,1610612762,78.0,0.38,0.667,0.235,16.0,48.0,1
2020-08-31,41900201,Final,1610612749,1610612748,2019,1610612749,104.0,0.493,0.5379999999999999,0.457,22.0,34.0,1610612748,115.0,0.46399999999999997,0.9259999999999999,0.387,21.0,46.0,0
2020-08-31,41900176,Final,1610612760,1610612745,2019,1610612760,104.0,0.42700000000000005,0.889,0.33299999999999996,17.0,51.0,1610612745,100.0,0.452,0.75,0.341,19.0,41.0,1
2020-08-30,41900211,Final,1610612761,1610612738,2019,1610612761,94.0,0.369,0.759,0.25,22.0,40.0,1610612738,112.0,0.47,0.81,0.436,25.0,50.0,0
2020-08-30,41900156,Final,1610612742,1610612746,2019,1610612742,97.0,0.42200000000000004,0.588,0.297,20.0,42.0,1610612746,111.0,0.484,0.9229999999999999,0.379,22.0,52.0,0
2020-08-30,41900166,Final,1610612762,1610612743,2019,1610612762,107.0,0.45299999999999996,0.7,0.5,20.0,30.0,1610612743,119.0,0.5489999999999999,0.885,0.5,22.0,43.0,0
2020-08-29,41900105,Final,1610612749,1610612753,2019,1610612749,118.0,0.455,0.815,0.35600000000000004,27.0,56.0,1610612753,104.0,0.39399999999999996,0.7140000000000001,0.366,22.0,47.0,1
2020-08-29,41900175,Final,1610612745,1610612760,2019,1610612745,114.0,0.43,0.643,0.396,28.0,55.0,1610612760,80.0,0.315,0.652,0.152,11.0,58.0,1
2020-08-29,41900145,Final,1610612747,1610612757,2019,1610612747,131.0,0.545,0.8079999999999999,0.389,27.0,41.0,1610612757,122.0,0.473,0.8079999999999999,0.48100000000000004,20.0,43.0,1
2020-08-25,41900165,Final,1610612743,1610612762,2019,1610612743,117.0,0.506,0.938,0.457,22.0,38.0,1610612762,107.0,0.5,0.813,0.47100000000000003,23.0,35.0,1
2020-08-25,41900155,Final,1610612746,1610612742,2019,1610612746,154.0,0.631,0.765,0.629,28.0,49.0,1610612742,111.0,0.447,0.6970000000000001,0.324,19.0,31.0,1
2020-08-24,41900104,Final,1610612753,1610612749,2019,1610612753,106.0,0.414,0.8,0.4,26.0,43.0,1610612749,121.0,0.495,0.667,0.415,29.0,49.0,0
2020-08-24,41900174,Final,1610612760,1610612745,2019,1610612760,117.0,0.488,0.7859999999999999,0.344,16.0,46.0,1610612745,114.0,0.451,0.9,0.397,25.0,40.0,1
2020-08-24,41900134,Final,1610612748,1610612754,2019,1610612748,99.0,0.44,0.7859999999999999,0.267,24.0,60.0,1610612754,87.0,0.413,0.636,0.37799999999999995,20.0,34.0,1
2020-08-24,41900144,Final,1610612757,1610612747,2019,1610612757,115.0,0.449,0.742,0.429,20.0,42.0,1610612747,135.0,0.563,0.667,0.436,29.0,41.0,0
2020-08-23,41900124,Final,1610612755,1610612738,2019,1610612755,106.0,0.42700000000000005,0.794,0.265,12.0,39.0,1610612738,110.0,0.46299999999999997,0.759,0.34299999999999997,19.0,42.0,0
2020-08-23,41900154,Final,1610612742,1610612746,2019,1610612742,135.0,0.5,0.75,0.361,20.0,54.0,1610612746,133.0,0.46399999999999997,0.9059999999999999,0.368,19.0,41.0,1
2020-08-23,41900114,Final,1610612751,1610612761,2019,1610612751,122.0,0.39799999999999996,0.758,0.38,21.0,44.0,1610612761,150.0,0.5539999999999999,0.727,0.46799999999999997,39.0,57.0,0
2020-08-23,41900164,Final,1610612762,1610612743,2019,1610612762,129.0,0.575,0.861,0.483,14.0,37.0,1610612743,127.0,0.49,0.9229999999999999,0.386,25.0,40.0,1
2020-08-22,41900103,Final,1610612753,1610612749,2019,1610612753,107.0,0.452,0.857,0.48700000000000004,24.0,35.0,1610612749,121.0,0.561,0.706,0.45899999999999996,27.0,43.0,0
2020-08-22,41900133,Final,1610612748,1610612754,2019,1610612748,124.0,0.45299999999999996,0.8270000000000001,0.39399999999999996,23.0,46.0,1610612754,115.0,0.488,0.75,0.364,23.0,37.0,1
2020-08-22,41900173,Final,1610612760,1610612745,2019,1610612760,119.0,0.446,0.6759999999999999,0.341,20.0,54.0,1610612745,107.0,0.413,0.696,0.3,14.0,46.0,1
2020-08-22,41900143,Final,1610612757,1610612747,2019,1610612757,108.0,0.41100000000000003,0.9470000000000001,0.34299999999999997,17.0,38.0,1610612747,116.0,0.5,0.6509999999999999,0.33299999999999996,26.0,55.0,0
2020-08-21,41900113,Final,1610612751,1610612761,2019,1610612751,92.0,0.33299999999999996,0.727,0.314,24.0,42.0,1610612761,117.0,0.505,0.636,0.474,35.0,56.0,0
2020-08-21,41900163,Final,1610612762,1610612743,2019,1610612762,124.0,0.512,0.769,0.486,27.0,50.0,1610612743,87.0,0.375,0.818,0.316,20.0,45.0,1
2020-08-21,41900123,Final,1610612755,1610612738,2019,1610612755,94.0,0.295,0.853,0.231,14.0,57.0,1610612738,102.0,0.414,0.917,0.258,15.0,45.0,0
2020-08-21,41900153,Final,1610612742,1610612746,2019,1610612742,122.0,0.506,0.708,0.395,27.0,42.0,1610612746,130.0,0.522,0.815,0.41200000000000003,24.0,44.0,0
2020-08-20,41900132,Final,1610612754,1610612748,2019,1610612754,100.0,0.444,0.8,0.353,25.0,38.0,1610612748,109.0,0.474,0.679,0.514,27.0,41.0,0
2020-08-20,41900172,Final,1610612745,1610612760,2019,1610612745,111.0,0.418,0.889,0.33899999999999997,21.0,41.0,1610612760,98.0,0.44299999999999995,0.895,0.344,15.0,48.0,1
2020-08-20,41900102,Final,1610612749,1610612753,2019,1610612749,111.0,0.47200000000000003,0.75,0.366,26.0,57.0,1610612753,96.0,0.348,0.871,0.212,18.0,42.0,1
2020-08-20,41900142,Final,1610612747,1610612757,2019,1610612747,111.0,0.478,0.9,0.368,26.0,50.0,1610612757,88.0,0.4,0.75,0.276,14.0,41.0,1
2020-08-19,41900112,Final,1610612761,1610612751,2019,1610612761,104.0,0.43700000000000006,0.679,0.257,22.0,44.0,1610612751,99.0,0.38799999999999996,0.7040000000000001,0.341,25.0,46.0,1
2020-08-19,41900162,Final,1610612743,1610612762,2019,1610612743,105.0,0.457,0.7829999999999999,0.48100000000000004,22.0,41.0,1610612762,124.0,0.517,0.8240000000000001,0.455,32.0,36.0,0
2020-08-19,41900122,Final,1610612738,1610612755,2019,1610612738,128.0,0.512,0.7240000000000001,0.442,20.0,43.0,1610612755,101.0,0.418,0.8109999999999999,0.23800000000000002,21.0,38.0,1
2020-08-19,41900152,Final,1610612746,1610612742,2019,1610612746,114.0,0.44,0.769,0.294,16.0,47.0,1610612742,127.0,0.5,0.703,0.44799999999999995,25.0,49.0,0
2020-08-18,41900101,Final,1610612749,1610612753,2019,1610612749,110.0,0.433,0.643,0.33299999999999996,28.0,47.0,1610612753,122.0,0.494,0.9470000000000001,0.39,29.0,48.0,0
2020-08-18,41900131,Final,1610612754,1610612748,2019,1610612754,101.0,0.474,0.8640000000000001,0.41700000000000004,22.0,37.0,1610612748,113.0,0.494,0.8,0.371,22.0,35.0,0
2020-08-18,41900171,Final,1610612745,1610612760,2019,1610612745,123.0,0.483,0.895,0.385,25.0,36.0,1610612760,108.0,0.44,0.84,0.371,22.0,46.0,1
2020-08-18,41900141,Final,1610612747,1610612757,2019,1610612747,93.0,0.35100000000000003,0.645,0.156,22.0,55.0,1610612757,100.0,0.392,0.758,0.382,18.0,50.0,0
2020-08-17,41900161,Final,1610612743,1610612762,2019,1610612743,135.0,0.516,0.833,0.537,23.0,41.0,1610612762,125.0,0.474,0.7390000000000001,0.34,18.0,52.0,1
2020-08-17,41900111,Final,1610612761,1610612751,2019,1610612761,134.0,0.47100000000000003,0.97,0.5,26.0,47.0,1610612751,110.0,0.467,0.688,0.31,33.0,45.0,1
2020-08-17,41900121,Final,1610612738,1610612755,2019,1610612738,109.0,0.42200000000000004,0.885,0.32299999999999995,22.0,43.0,1610612755,101.0,0.46299999999999997,0.7829999999999999,0.33299999999999996,23.0,50.0,1
2020-08-17,41900151,Final,1610612746,1610612742,2019,1610612746,118.0,0.474,0.75,0.342,18.0,45.0,1610612742,110.0,0.457,0.875,0.349,18.0,41.0,1
2020-08-15,51900111,Final,1610612757,1610612763,2019,1610612757,126.0,0.452,0.8540000000000001,0.375,20.0,39.0,1610612763,122.0,0.489,0.818,0.56,30.0,49.0,1
2020-08-14,21901318,Final,1610612761,1610612743,2019,1610612761,117.0,0.5,0.643,0.514,27.0,51.0,1610612743,109.0,0.414,0.9129999999999999,0.42100000000000004,27.0,41.0,1
2020-08-14,21901316,Final,1610612754,1610612748,2019,1610612754,109.0,0.483,0.727,0.395,32.0,51.0,1610612748,92.0,0.35600000000000004,0.741,0.263,14.0,48.0,1
2020-08-14,21901317,Final,1610612746,1610612760,2019,1610612746,107.0,0.4,0.6920000000000001,0.324,23.0,61.0,1610612760,103.0,0.358,0.591,0.318,18.0,48.0,1
2020-08-14,21901315,Final,1610612745,1610612755,2019,1610612745,96.0,0.43799999999999994,0.875,0.25,25.0,27.0,1610612755,134.0,0.563,0.818,0.474,31.0,51.0,0
2020-08-13,21901308,Final,1610612738,1610612764,2019,1610612738,90.0,0.39799999999999996,0.857,0.22899999999999998,22.0,51.0,1610612764,96.0,0.386,0.75,0.385,22.0,56.0,0
2020-08-13,21901310,Final,1610612747,1610612758,2019,1610612747,122.0,0.49,0.733,0.429,29.0,47.0,1610612758,136.0,0.568,0.583,0.447,37.0,44.0,0
2020-08-13,21901311,Final,1610612763,1610612749,2019,1610612763,119.0,0.5,0.696,0.39399999999999996,36.0,55.0,1610612749,106.0,0.39799999999999996,0.652,0.317,27.0,45.0,1
2020-08-13,21901313,Final,1610612756,1610612742,2019,1610612756,128.0,0.551,0.762,0.41200000000000003,34.0,45.0,1610612742,102.0,0.43799999999999994,0.8420000000000001,0.308,17.0,43.0,1
2020-08-13,21901314,Final,1610612762,1610612759,2019,1610612762,118.0,0.465,0.9,0.326,25.0,43.0,1610612759,112.0,0.494,0.667,0.5,24.0,44.0,1
2020-08-13,21901309,Final,1610612751,1610612757,2019,1610612751,133.0,0.552,0.684,0.424,28.0,46.0,1610612757,134.0,0.48100000000000004,0.875,0.33299999999999996,25.0,42.0,0
2020-08-13,21901312,Final,1610612753,1610612740,2019,1610612753,133.0,0.5710000000000001,0.733,0.536,25.0,33.0,1610612740,127.0,0.552,0.778,0.294,22.0,40.0,1
2020-08-12,21901304,Final,1610612745,1610612754,2019,1610612745,104.0,0.37200000000000005,0.857,0.281,20.0,49.0,1610612754,108.0,0.4,0.773,0.355,25.0,54.0,0
2020-08-12,21901305,Final,1610612755,1610612761,2019,1610612755,121.0,0.46399999999999997,0.7879999999999999,0.425,27.0,47.0,1610612761,125.0,0.444,0.675,0.419,28.0,47.0,0
2020-08-12,21901306,Final,1610612760,1610612748,2019,1610612760,116.0,0.43799999999999994,0.815,0.381,20.0,50.0,1610612748,115.0,0.488,0.85,0.33299999999999996,24.0,40.0,1
2020-08-12,21901307,Final,1610612743,1610612746,2019,1610612743,111.0,0.494,0.632,0.371,33.0,42.0,1610612746,124.0,0.541,0.7829999999999999,0.37799999999999995,29.0,40.0,0
2020-08-11,21901297,Final,1610612753,1610612751,2019,1610612753,96.0,0.386,0.862,0.304,13.0,49.0,1610612751,108.0,0.42700000000000005,0.792,0.302,26.0,47.0,0
2020-08-11,21901298,Final,1610612759,1610612745,2019,1610612759,123.0,0.495,0.9,0.406,28.0,59.0,1610612745,105.0,0.40399999999999997,0.905,0.292,18.0,37.0,1
2020-08-11,21901299,Final,1610612755,1610612756,2019,1610612755,117.0,0.495,0.7140000000000001,0.455,28.0,34.0,1610612756,130.0,0.551,0.9520000000000001,0.429,28.0,44.0,0
2020-08-11,21901301,Final,1610612763,1610612738,2019,1610612763,107.0,0.39299999999999996,0.789,0.24100000000000002,26.0,44.0,1610612738,122.0,0.512,0.7829999999999999,0.43200000000000005,29.0,46.0,0
2020-08-11,21901300,Final,1610612742,1610612757,2019,1610612742,131.0,0.519,0.818,0.455,28.0,37.0,1610612757,134.0,0.469,0.9309999999999999,0.395,18.0,48.0,0
2020-08-11,21901302,Final,1610612758,1610612740,2019,1610612758,112.0,0.489,0.938,0.423,27.0,45.0,1610612740,106.0,0.512,0.789,0.292,25.0,34.0,1
2020-08-11,21901303,Final,1610612764,1610612749,2019,1610612764,113.0,0.41100000000000003,0.767,0.34299999999999997,22.0,44.0,1610612749,126.0,0.506,0.7140000000000001,0.474,25.0,53.0,0
2020-08-10,21901292,Final,1610612756,1610612760,2019,1610612756,128.0,0.47200000000000003,0.9309999999999999,0.5,29.0,53.0,1610612760,101.0,0.389,0.857,0.33299999999999996,24.0,40.0,1
2020-08-10,21901293,Final,1610612762,1610612742,2019,1610612762,114.0,0.47600000000000003,0.75,0.457,28.0,38.0,1610612742,122.0,0.565,0.875,0.5,29.0,34.0,0
2020-08-10,21901294,Final,1610612749,1610612761,2019,1610612749,106.0,0.39299999999999996,0.743,0.326,25.0,49.0,1610612761,114.0,0.433,0.6920000000000001,0.3,24.0,55.0,0
2020-08-10,21901295,Final,1610612748,1610612754,2019,1610612748,114.0,0.449,0.684,0.325,29.0,59.0,1610612754,92.0,0.39299999999999996,0.64,0.28600000000000003,20.0,45.0,1
2020-08-10,21901296,Final,1610612747,1610612743,2019,1610612747,124.0,0.5429999999999999,0.688,0.483,28.0,32.0,1610612743,121.0,0.584,0.7829999999999999,0.565,27.0,35.0,1
2020-08-09,21901285,Final,1610612760,1610612764,2019,1610612760,121.0,0.512,0.773,0.462,25.0,43.0,1610612764,103.0,0.413,0.818,0.25,23.0,44.0,1
2020-08-09,21901286,Final,1610612761,1610612763,2019,1610612761,108.0,0.479,0.758,0.385,25.0,40.0,1610612763,99.0,0.40700000000000003,0.688,0.33299999999999996,24.0,42.0,1
2020-08-09,21901287,Final,1610612740,1610612759,2019,1610612740,113.0,0.43799999999999994,0.773,0.4,30.0,48.0,1610612759,122.0,0.449,0.9690000000000001,0.39299999999999996,22.0,51.0,0
2020-08-09,21901288,Final,1610612738,1610612753,2019,1610612738,122.0,0.441,0.833,0.3,32.0,54.0,1610612753,119.0,0.402,0.846,0.319,24.0,52.0,1
2020-08-09,21901289,Final,1610612757,1610612755,2019,1610612757,124.0,0.473,0.9309999999999999,0.314,19.0,41.0,1610612755,121.0,0.485,0.765,0.467,24.0,48.0,1
2020-08-09,21901290,Final,1610612758,1610612745,2019,1610612758,112.0,0.47100000000000003,0.87,0.27,29.0,41.0,1610612745,129.0,0.473,0.833,0.316,21.0,48.0,0
2020-08-09,21901291,Final,1610612746,1610612751,2019,1610612746,120.0,0.484,0.85,0.361,23.0,39.0,1610612751,129.0,0.5529999999999999,0.789,0.465,32.0,46.0,0
2020-08-08,21901280,Final,1610612757,1610612746,2019,1610612757,117.0,0.489,0.706,0.395,24.0,41.0,1610612746,122.0,0.494,0.821,0.441,24.0,45.0,0
2020-08-08,21901281,Final,1610612743,1610612762,2019,1610612743,134.0,0.47200000000000003,0.767,0.243,29.0,52.0,1610612762,132.0,0.44799999999999995,0.727,0.4,34.0,51.0,1
2020-08-08,21901282,Final,1610612754,1610612747,2019,1610612754,116.0,0.524,0.929,0.455,25.0,42.0,1610612747,111.0,0.42,0.737,0.33299999999999996,20.0,44.0,1
2020-08-08,21901283,Final,1610612748,1610612756,2019,1610612748,112.0,0.488,0.8640000000000001,0.306,28.0,37.0,1610612756,119.0,0.478,0.95,0.375,27.0,52.0,0
2020-08-08,21901284,Final,1610612742,1610612749,2019,1610612742,136.0,0.41700000000000004,0.92,0.321,37.0,54.0,1610612749,132.0,0.475,0.6759999999999999,0.341,26.0,55.0,1
2020-08-07,21901274,Final,1610612759,1610612762,2019,1610612759,119.0,0.506,0.769,0.409,27.0,47.0,1610612762,111.0,0.418,0.792,0.43200000000000005,25.0,49.0,1
2020-08-07,21901275,Final,1610612763,1610612760,2019,1610612763,121.0,0.5539999999999999,0.9,0.355,24.0,58.0,1610612760,92.0,0.35100000000000003,0.733,0.302,19.0,36.0,1
2020-08-07,21901276,Final,1610612751,1610612758,2019,1610612751,119.0,0.488,0.643,0.425,30.0,44.0,1610612758,106.0,0.42700000000000005,0.75,0.3,19.0,50.0,1
2020-08-07,21901277,Final,1610612755,1610612753,2019,1610612755,108.0,0.409,0.727,0.276,19.0,51.0,1610612753,101.0,0.42,0.76,0.25,17.0,47.0,1
2020-08-07,21901278,Final,1610612740,1610612764,2019,1610612740,118.0,0.47700000000000004,0.846,0.34299999999999997,25.0,45.0,1610612764,107.0,0.42200000000000004,0.9129999999999999,0.37,22.0,40.0,1
2020-08-07,21901279,Final,1610612761,1610612738,2019,1610612761,100.0,0.42700000000000005,0.8240000000000001,0.263,20.0,48.0,1610612738,122.0,0.49,0.75,0.348,27.0,52.0,0
2020-08-06,21901268,Final,1610612758,1610612740,2019,1610612758,140.0,0.5379999999999999,0.727,0.485,26.0,39.0,1610612740,125.0,0.573,0.7390000000000001,0.41200000000000003,31.0,30.0,1
2020-08-06,21901269,Final,1610612749,1610612748,2019,1610612749,130.0,0.526,0.868,0.405,27.0,44.0,1610612748,116.0,0.42200000000000004,0.9259999999999999,0.457,28.0,39.0,1
2020-08-06,21901270,Final,1610612756,1610612754,2019,1610612756,114.0,0.467,0.95,0.265,27.0,53.0,1610612754,99.0,0.435,0.789,0.345,20.0,38.0,1
2020-08-06,21901271,Final,1610612742,1610612746,2019,1610612742,111.0,0.44799999999999995,0.762,0.354,24.0,37.0,1610612746,126.0,0.5429999999999999,0.8,0.452,22.0,45.0,0
2020-08-06,21901272,Final,1610612743,1610612757,2019,1610612743,115.0,0.524,0.765,0.5,30.0,44.0,1610612757,125.0,0.467,0.8,0.59,30.0,39.0,0
2020-08-06,21901273,Final,1610612745,1610612747,2019,1610612745,113.0,0.429,0.87,0.368,26.0,34.0,1610612747,97.0,0.455,0.6940000000000001,0.105,18.0,48.0,1
2020-08-05,21901262,Final,1610612762,1610612763,2019,1610612762,124.0,0.452,0.909,0.4,25.0,46.0,1610612763,115.0,0.473,0.72,0.379,21.0,41.0,1
2020-08-05,21901263,Final,1610612764,1610612755,2019,1610612764,98.0,0.424,0.792,0.33299999999999996,17.0,48.0,1610612755,107.0,0.46299999999999997,0.69,0.379,27.0,41.0,0
2020-08-05,21901264,Final,1610612759,1610612743,2019,1610612759,126.0,0.495,0.852,0.36700000000000005,29.0,35.0,1610612743,132.0,0.5489999999999999,0.857,0.389,31.0,46.0,0
2020-08-05,21901265,Final,1610612747,1610612760,2019,1610612747,86.0,0.35200000000000004,0.655,0.135,17.0,46.0,1610612760,105.0,0.43,0.889,0.20800000000000002,17.0,52.0,0
2020-08-05,21901266,Final,1610612753,1610612761,2019,1610612753,99.0,0.402,0.6920000000000001,0.268,26.0,43.0,1610612761,109.0,0.48700000000000004,0.7,0.364,25.0,44.0,0
2020-08-05,21901267,Final,1610612738,1610612751,2019,1610612738,149.0,0.568,0.8290000000000001,0.513,29.0,43.0,1610612751,115.0,0.474,0.81,0.25,23.0,34.0,1
2020-08-04,21901256,Final,1610612749,1610612751,2019,1610612749,116.0,0.47700000000000004,0.652,0.33299999999999996,28.0,54.0,1610612751,119.0,0.41700000000000004,0.75,0.368,30.0,42.0,0
2020-08-04,21901257,Final,1610612758,1610612742,2019,1610612758,110.0,0.413,0.667,0.37200000000000005,26.0,47.0,1610612742,114.0,0.36700000000000005,0.78,0.22,22.0,61.0,0
2020-08-04,21901258,Final,1610612746,1610612756,2019,1610612746,115.0,0.494,0.852,0.276,21.0,48.0,1610612756,117.0,0.469,0.7140000000000001,0.531,25.0,44.0,0
